GeneID	HPmockWT_1	HPmockWT_2	HPmockWT_3	HPmockWT_4	HPmockpho2_1	HPmockpho2_2	HPmockpho2_3	HPmockpho2_4
AGIS_Os01g003890	0	0	0	10	0	0	0	0
AGIS_Os01g003900	0	0	0	0	0	0	0	0
AGIS_Os01g003910	0	24	26	22	2	12	0	1
AGIS_Os01g003920	754	457	619	741	223	375	591	334
AGIS_Os01g003930	5978	3377	2574	3886	2676	2082	5001	3303
AGIS_Os01g003940	1151	1186	1338	1428	1032	786	1344	1073
AGIS_Os01g003950	22	68	52	90	27	135	50	38
AGIS_Os01g003960	213	524	361	574	295	326	219	233
AGIS_Os01g003970	80	194	170	237	154	128	129	130
AGIS_Os01g003980	8	73	23	159	41	59	30	71
AGIS_Os01g003990	30	29	0	29	9	11	0	2
AGIS_Os01g004000	28	207	164	328	148	179	60	127
AGIS_Os01g004010	463	500	419	638	290	282	379	243
AGIS_Os01g004020	314	184	131	144	76	64	139	77
AGIS_Os01g004030	0	0	0	0	0	0	0	0
AGIS_Os01g004040	0	32	36	14	29	5	0	4
AGIS_Os01g004050	592	362	193	560	269	191	269	153
AGIS_Os01g004060	0	0	0	0	0	0	0	0
AGIS_Os01g004070	0	0	0	0	0	0	0	4
AGIS_Os01g004080	42	20	36	52	14	4	46	32
AGIS_Os01g004090	0	0	0	0	0	0	0	0
AGIS_Os01g004100	40	0	0	18	16	0	14	22
AGIS_Os01g004110	0	0	0	0	0	0	0	0
AGIS_Os01g004120	36	24	12	14	3	0	8	6
AGIS_Os01g004130	852	561	501	836	328	423	364	222
AGIS_Os01g004140	0	0	0	0	0	0	0	0
AGIS_Os01g004150	26	0	0	0	0	0	0	2
AGIS_Os01g004160	0	0	0	0	0	0	0	0
AGIS_Os01g004170	0	0	0	0	0	0	0	0
AGIS_Os01g004180	0	6	0	2	6	4	4	12
AGIS_Os01g004190	0	0	6	1	0	0	0	0
AGIS_Os01g004200	0	0	0	0	0	0	0	0
AGIS_Os01g004210	26	0	0	0	0	0	0	0
AGIS_Os01g004220	28	12	0	1	0	1	0	8
AGIS_Os01g004230	0	6	16	0	0	0	0	0
AGIS_Os01g004240	1	0	0	0	0	0	0	0
AGIS_Os01g004250	5	6	10	0	15	3	6	18
AGIS_Os01g004260	566	1929	1007	2604	1547	1378	1317	1867
AGIS_Os01g004270	28	101	52	210	93	154	116	171
AGIS_Os01g004280	0	26	0	4	19	15	0	10
AGIS_Os01g004290	0	10	0	16	13	0	0	6
AGIS_Os01g004300	0	15	0	6	28	1	0	10
AGIS_Os01g004310	571	1178	595	1626	862	938	684	901
AGIS_Os01g004320	0	4	0	4	0	0	26	0
AGIS_Os01g004330	13128	13002	10915	12656	9316	10278	17230	12426
AGIS_Os01g004340	868	2737	1047	4275	2333	2828	1661	3483
AGIS_Os01g004350	36	154	44	499	242	341	81	125
AGIS_Os01g004360	0	0	0	0	0	0	0	0
AGIS_Os01g004370	138	1283	568	1694	1147	1409	537	1632
AGIS_Os01g004380	993	1304	949	1241	851	889	968	887
AGIS_Os01g004390	0	0	0	0	0	0	0	0
AGIS_Os01g004400	2435	1879	1576	1803	775	998	1767	1201
AGIS_Os01g004410	0	0	0	0	0	0	0	0
AGIS_Os01g004420	0	0	0	0	0	0	0	0
AGIS_Os01g004430	0	7	0	0	0	0	26	0
AGIS_Os01g004440	0	0	0	0	0	0	0	0
AGIS_Os01g004450	0	17	0	30	32	25	0	12
AGIS_Os01g004460	3476	2600	1953	2417	1743	1404	2050	1835
AGIS_Os01g004470	6	155	37	353	167	181	68	125
AGIS_Os01g004480	2576	2337	2470	2311	1499	1454	1863	1699
AGIS_Os01g004490	0	28	30	69	40	36	72	58
AGIS_Os01g004500	5498	4481	4049	4718	1385	2074	1550	789
AGIS_Os01g004510	122	305	165	437	149	203	207	233
AGIS_Os01g004520	5384	3816	3279	4020	1758	2077	3554	4160
AGIS_Os01g004530	50	69	47	191	135	82	81	75
AGIS_Os01g004540	993	890	801	738	525	473	822	791
AGIS_Os01g004550	0	26	17	32	48	26	40	77
AGIS_Os01g004560	21	4	30	22	26	9	6	40
AGIS_Os01g004570	0	0	0	0	0	0	0	0
AGIS_Os01g004580	16	0	0	32	15	14	0	0
AGIS_Os01g004590	0	0	0	0	0	0	0	0
AGIS_Os01g004600	0	0	0	0	0	0	0	0
AGIS_Os01g004610	0	0	0	0	0	0	0	0
